cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
26667566,0001,1,STUDIO RENATA PACE - GINASTICA E TREINAMENTO FUNCIONAL,02,20161206,20161206,SP,6155
26668788,0001,1,FIT ACADEMIA,02,20191113,20161206,RS,8841
26669166,0001,1,ACADEMIA NC BARRETO BOXE,02,20161206,20161206,SP,6219
26672385,0001,1,M7X ASSESSORIA ESPORTIVA,08,20220221,20161207,SP,7097
26672500,0001,1,,08,20170621,20161207,GO,1066
26672646,0001,1,,02,20161207,20161207,CE,1389
26676352,0001,1,DOUGLAS,08,20180223,20161207,SC,8047
26677155,0001,1,CENTRO AQUATICO AQUA PLAY,08,20180118,20161207,MG,4249
19934859,0003,2,,02,20161024,20161024,PR,7535
26683422,0001,1,LONG LIFE,08,20201204,20161208,SC,8327
26684320,0001,1,TC,08,20220406,20161003,RJ,5869
26688561,0001,1,EMANUELLE STA CLARA ASSESSORIA ESPORTIVA,08,20231204,20161209,PR,7535
26355100,0001,1,DEGASSA TREINAMENTO FUNCIONAL,04,20231109,20161014,RS,8915
26694173,0001,1,NEW CORPUS FIT,08,20180510,20161211,SP,7107
26700024,0001,1,,08,20190225,20161212,SP,6891
26701148,0001,1,,08,20171229,20161212,RS,8791
26704653,0001,1,GIGANTES DE OURO,08,20190830,20161213,MG,4647
26705739,0001,1,STUDIO PAULA SANTOS,08,20170328,20161213,SP,6477
26705964,0001,1,CORPO EM MOVIMENTO,08,20170419,20161213,RO,0009
26706466,0001,1,,04,20210225,20161213,RS,8587
26710758,0001,1,STUDIO DE DANCA CORPO E MOVIMENTO,02,20161214,20161214,SP,6211
26713808,0001,1,FUNCIO TRAINER TREINAMENTO FUNCIONAL,08,20170109,20161214,ES,5625
26717719,0001,1,CG FIT ASSESSORIA ESPORTIVA,04,20220209,20161215,SP,6579
26720709,0001,1,MOVIMENT ACADEMIA RO,02,20161215,20161215,RO,0011
26721230,0001,1,HIDROGINASTICA ANGELICA,08,20250711,20161215,SP,6449
26722841,0001,1,SUELLENFITNES,04,20210311,20161215,RJ,6001
26731379,0001,1,SULL PERSSONAL,04,20210323,20161218,PR,7483
26731417,0001,1,GERNANDA MEIRELES,08,20190722,20161218,SP,6589
26734651,0001,1,ACADEMIA NOVA ESTACAO FITNESS,04,20210426,20161219,AL,2867
26735527,0001,1,,04,20210326,20161219,SP,6477
26736523,0001,1,ACADEMIA BEM ESTAR,02,20161219,20161219,SC,8095
26737201,0001,1,ACADEMIA MONSTER GYM,08,20210823,20161219,MG,4733
26740064,0001,1,RHINO ACADEMIA,04,20210408,20161220,SP,6179
26743376,0001,1,,04,20210326,20161220,SP,6789
26744240,0001,1,FUNCIONAL CROSS,08,20171227,20161220,MG,4051
21271288,0002,2,POWER FITNESS,02,20250805,20161221,MA,0723
26749057,0001,1,CROSSFIT SUZANO,02,20161221,20161221,SP,7151
26750492,0001,1,ANA PAULA SENATORE,08,20190320,20161221,RJ,6001
26750558,0001,1,,04,20210316,20161221,RJ,6001
26764859,0001,1,STUDIO EQUILIBRIO,08,20170221,20161227,MG,4751
26765707,0001,1,CLUB FITNESS,02,20161227,20161227,GO,9413
26772396,0001,1,THAMIRES NUNES ASSESSORIA ESPORTIVA,08,20171129,20161228,MG,4123
26774769,0001,1,BOXNUTRITION,08,20200608,20161229,SP,6511
26776380,0001,1,LAGO LYRIO FITNESS,08,20210126,20161229,BA,3849
26778588,0001,1,SERGINHO,04,20210330,20161231,MG,4371
26780781,0001,1,GIL SPORT TREINNER,08,20220218,20170102,CE,1411
26781067,0001,1,EMILY ROCHA ASSESSORIA ESPORTIVA,08,20181101,20170102,GO,9373
26782580,0001,1,SAMUEL LIMA CLINICA DE MUSCULACAO,02,20170102,20170102,GO,9395
26782902,0001,1,LIFE FITNESS EDUCACAO CORPORAL E SAUDE,08,20170426,20170102,MG,4865
26784169,0001,1,MOVE -ACADEMIA PERSONALIZADA,08,20220322,20170102,PR,7701
26787509,0001,1,ROBERTA OLIVER TREINAMENTO PERSONALIZADO,04,20210416,20170103,MG,4123
26789723,0001,1,ESPACO ATIVO,02,20170103,20170103,SP,7041
26791040,0001,1,DELTAFIT PERSONAL TRAINING,08,20180131,20170103,SP,6137
